               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10711,            0.022904,                   0,           0.0022336,                 0.6,            0.036711,            0.010668,             0.08593,            0.014383,                   0,            0.070484,           0.0032796,           0.0032796
                   1,            0.074558,            0.020546,                   0,             0.13908,             0.34783,            0.092205,            0.029984,            0.072612,            0.011865,                   0,            0.039829,           0.0059582,           0.0059582
                   2,             0.06287,            0.018349,                   0,             0.40869,             0.42609,              0.3446,              0.1177,            0.056964,            0.010695,                   0,           0.0085145,           0.0079769,           0.0079769
                   3,            0.056843,            0.016722,                   0,              0.6384,              0.4087,              0.4738,             0.19102,            0.053524,           0.0096939,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.052109,            0.015132,                   0,             0.53012,             0.54783,             0.54696,             0.23213,            0.050116,           0.0087198,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.048556,            0.013833,                   0,             0.54698,             0.58261,             0.55816,             0.21081,            0.051092,           0.0083871,                   0,             0.00604,             0.00604,             0.00604
                   6,             0.04508,            0.012879,                   0,             0.64336,             0.66957,             0.68007,             0.28508,            0.043729,           0.0079496,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.042005,            0.012483,                   0,             0.82005,             0.64348,             0.74796,             0.32203,            0.042869,           0.0076266,                   0,             0.00406,             0.00406,             0.00406
                   8,             0.03967,            0.011608,                   0,             0.79267,             0.77391,             0.83593,             0.39586,            0.040187,           0.0070295,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.037338,            0.011919,                   0,             0.71962,             0.70435,             0.75486,             0.38309,            0.041509,           0.0068824,                   0,             0.00208,             0.00208,             0.00208
